carat,cut,color,clarity,price
0.51,Premium,F,VS1,1749
2.25,Fair,G,I1,7069
0.7,Very Good,E,VS2,2757
0.47,Good,F,VS1,1243
0.3,Ideal,G,VVS1,789
0.33,Ideal,D,SI1,728
2.01,Very Good,G,SI1,18398
0.51,Ideal,F,VVS2,2203
1.7,Premium,D,SI1,15100
0.53,Premium,D,VS2,1857
0.39,Premium,H,SI1,83400000000
1.5,Very Good,H,SI1,7708
1,Premium,E,VS2,6272
1.29,Ideal,J,VS1,5676
2.01,Good,D,SI2,16776
1.13,Ideal,G,VS1,7404
0.7,Ideal,I,SI2,1702
0.38,Very Good,I,VS1,606
1.17,Ideal,H,SI2,5423
1.51,Premium,F,SI1,8033
0.4,Ideal,D,VVS1,1279
0.41,Very Good,F,VS2,863
0.51,Ideal,G,VVS1,1893
1,Premium,H,SI2,3584
1.09,Ideal,F,VVS2,10196
0.39,Good,E,VS1,1082
0.72,Premium,E,VS2,3024
1.14,Very Good,E,SI2,5593
0.3,Ideal,D,VS2,710
0.3,Ideal,H,SI1,465
0.71,Very Good,H,SI1,
1.22,Very Good,H,SI2,5192
1.53,Ideal,H,SI2,9562
0.5,Premium,F,VS2,1436
0.42,Ideal,G,VS2,1087
1.22,Ideal,H,SI1,6727
0.3,Ideal,I,VVS1,552
0.25,Ideal,G,VVS2,525
,Very Good,H,VS1,579
1.2,Ideal,G,SI1,6741
0.7,Ideal,G,VVS2,3205
0.31,Premium,F,VS2,802
0.41,Ideal,F,VS2,1107
0.9,Ideal,E,SI2,3200
1.44,Good,G,I1,5987
0.7,Good,G,SI1,2218
0.35,Premium,E,SI1,788
0.54,Premium,D,SI1,1595
1.71,Very Good,F,VS2,13818
1.01,Premium,F,VS2,6244
0.43,Ideal,G,SI2,935
0.71,Ideal,E,VS2,3304
0.32,Very Good,F,VS2,602
1.13,Ideal,G,VS2,6891
0.91,Premium,E,SI2,3639
1.02,Very Good,E,SI1,5278
0.36,Ideal,E,VS1,1094
0.3,Premium,G,VS1,776
0.3,Ideal,G,IF,863
0.77,Ideal,I,SI1,2475
0.4,Ideal,H,VS1,815
0.7,Very Good,I,VVS1,2513
0.4,Very Good,E,VVS2,1075
0.58,Ideal,F,SI1,1401
1.01,Premium,E,SI1,5656
1.3,Premium,F,SI1,8164
0.34,Ideal,D,I1,413
0.33,Ideal,E,VVS2,802
1.22,Premium,E,SI2,6121
0.26,Ideal,F,VS1,452
0.57,Premium,I,VVS1,1608
1.01,Premium,F,SI2,4137
0.31,Ideal,H,VS1,544
1.01,Ideal,J,VS2,4617
0.51,Fair,H,VS1,1234
0.42,Ideal,D,VVS2,1210
0.31,Very Good,I,SI1,408
0.28,Very Good,F,VVS1,642
0.42,Very Good,G,VS2,854
0.5,Ideal,E,SI1,1555
0.79,Ideal,E,VS1,4240
1.03,Ideal,G,SI2,4928
0.73,Ideal,G,VVS1,4182
1.01,Very Good,D,SI2,4606
1.12,Ideal,G,VS2,6774
2.01,Premium,I,VS2,17826
0.36,Ideal,E,VS2,718
1,Fair,H,VS1,5460
1.51,Good,G,VS2,11640
0.8,Very Good,E,SI1,3293
0.53,Premium,F,VS2,1753
2.09,Very Good,I,VS1,18215
1.01,Fair,G,SI1,4004
0.58,Premium,I,VVS1,1636
0.7,Very Good,D,VS1,3247
1,Very Good,F,VS1,6098
0.36,Ideal,D,SI1,626
1.1,Ideal,E,I1,3872
1,Ideal,E,SI2,4760
0.56,Fair,E,SI2,1389
0.96,Very Good,D,SI2,3480
0.37,Premium,E,VS2,692
0.92,Ideal,D,SI1,5779
0.33,Ideal,H,IF,959
0.51,Good,G,SI2,1129
0.77,Ideal,D,VS1,4039
0.41,Premium,F,VVS2,1192
0.44,Premium,E,SI2,1028
1.24,Premium,F,SI1,7162
0.57,Very Good,E,SI2,1384
0.39,Premium,G,VVS2,1024
0.6,Ideal,F,VS1,2142
0.8,Premium,F,SI2,2447
1.01,Ideal,F,SI1,5486
0.71,Ideal,I,SI1,2319
0.29,Very Good,G,VVS1,607
0.38,Very Good,D,SI1,701
0.91,Very Good,J,SI1,2905
0.51,Ideal,G,VS2,1450
0.77,Premium,H,VS2,2546
1.58,Premium,J,SI1,7654
